second,top,bottom,left,right,total
363,0,0,0,2,2
364,0,0,0,0,0
365,0,0,0,1,1
366,0,0,0,1,1
367,0,0,0,1,1
368,0,0,0,0,0
369,0,0,0,1,1
370,0,0,0,1,1
371,0,0,0,0,0
372,0,0,0,1,1
373,0,0,0,0,0
374,0,0,0,1,1
375,0,0,0,1,1
376,0,0,0,2,2
377,1,0,0,3,4
378,0,0,0,0,0
379,0,0,0,2,2
380,0,0,0,1,1
381,0,0,0,1,1
382,0,0,0,2,2
383,0,0,0,1,1
384,0,0,0,1,1
385,0,0,1,0,1
386,0,0,0,2,2
387,0,0,0,0,0
388,0,0,0,0,0
389,0,0,0,1,1
390,0,0,0,1,1
391,0,0,1,2,3
392,0,0,0,0,0
393,0,1,1,2,4
394,0,0,0,0,0
395,0,0,1,2,3
396,0,0,0,0,0
397,0,0,1,2,3
398,0,0,1,1,2
399,0,0,0,1,1
400,0,0,0,1,1
401,0,0,0,0,0
402,0,0,0,2,2
403,0,0,0,1,1
404,0,0,0,1,1
405,0,0,0,1,1
406,0,0,0,2,2
407,0,0,1,1,2
408,0,0,0,1,1
409,0,0,0,1,1
410,0,0,0,0,0
411,0,0,0,2,2
412,0,0,0,0,0
413,0,0,0,3,3
414,0,0,0,0,0
415,0,0,0,2,2
416,0,0,0,2,2
417,0,0,0,0,0
418,0,0,0,1,1
419,0,0,0,1,1
420,0,0,0,1,1
421,0,0,1,2,3
422,0,0,0,0,0
423,0,1,0,0,1
424,0,0,0,0,0
425,0,0,0,0,0
426,0,0,0,0,0
427,0,0,0,0,0
428,2,0,0,1,3
429,1,2,0,0,3
430,2,1,1,0,4
431,0,2,0,0,2
432,3,0,0,0,3
433,1,3,0,0,4
434,3,0,0,0,3
435,0,1,0,0,1
436,4,2,0,1,7
437,0,1,0,0,1
438,3,0,0,1,4
439,1,1,0,0,2
440,1,1,0,0,2
441,3,1,0,0,4
442,1,0,0,1,2
443,0,0,0,0,0
444,2,1,0,0,3
445,0,1,0,0,1
446,2,0,0,0,2
447,1,1,0,0,2
448,3,0,0,0,3
449,1,0,0,0,1
450,0,0,0,0,0
451,3,0,0,0,3
452,0,0,0,0,0
453,3,0,0,0,3
454,1,0,0,0,1
455,3,0,0,1,4
456,0,0,0,0,0
457,0,1,0,0,1
458,1,0,0,1,2
459,1,0,0,0,1
460,0,0,0,0,0
461,2,0,0,1,3
462,0,0,0,0,0
