second,phase,queue_top,queue_bottom,queue_left,queue_right,total_queue,arrivals_top,arrivals_bottom,arrivals_left,arrivals_right
258,horizontal_green,33,28,0,21,82,1,1,0,0
259,horizontal_green,35,28,0,21,84,2,0,0,1
260,horizontal_green,35,28,0,20,83,0,0,0,0
261,horizontal_yellow,36,30,0,20,86,1,2,0,0
262,horizontal_yellow,37,31,0,20,88,1,1,0,0
263,all_red_1,39,32,0,20,91,2,1,0,0
264,vertical_green,40,31,0,20,91,2,0,0,0
265,vertical_green,40,30,0,20,90,1,0,0,0
266,vertical_green,41,30,1,20,92,2,1,1,0
267,vertical_green,41,29,1,20,91,1,0,0,0
268,vertical_green,41,28,1,20,90,1,0,0,0
269,vertical_green,43,28,1,20,92,3,1,0,0
270,vertical_green,43,27,1,20,91,1,0,0,0
271,vertical_green,45,26,1,20,92,3,0,0,0
272,vertical_green,44,26,1,21,92,0,1,0,1
273,vertical_green,45,25,1,21,92,2,0,0,0
274,vertical_green,45,24,1,21,91,1,0,0,0
275,vertical_green,46,23,1,21,91,2,0,0,0
276,vertical_green,47,22,1,21,91,2,0,0,0
277,vertical_green,47,21,1,21,90,1,0,0,0
278,vertical_green,47,20,1,21,89,1,0,0,0
279,vertical_green,46,19,1,21,87,0,0,0,0
280,vertical_green,45,18,1,22,86,0,0,0,1
281,vertical_green,45,17,1,22,85,1,0,0,0
282,vertical_green,44,16,1,22,83,0,0,0,0
283,vertical_green,43,15,1,22,81,0,0,0,0
284,vertical_green,43,15,1,22,81,1,1,0,0
285,vertical_green,43,15,1,22,81,1,1,0,0
286,vertical_green,42,14,1,22,79,0,0,0,0
287,vertical_green,41,14,1,22,78,0,1,0,0
288,vertical_green,41,13,1,22,77,1,0,0,0
289,vertical_green,40,13,1,22,76,0,1,0,0
290,vertical_green,41,13,1,22,77,2,1,0,0
291,vertical_green,40,12,1,22,75,0,0,0,0
292,vertical_green,40,12,1,22,75,1,1,0,0
293,vertical_green,40,12,1,22,75,1,1,0,0
294,vertical_green,39,13,1,22,75,0,2,0,0
295,vertical_green,38,12,2,22,74,0,0,1,0
296,vertical_green,38,11,2,22,73,1,0,0,0
297,vertical_green,38,11,2,22,73,1,1,0,0
298,vertical_green,38,11,2,23,74,1,1,0,1
299,vertical_green,37,10,2,23,72,0,0,0,0
300,vertical_green,36,10,2,23,71,0,1,0,0
301,vertical_green,36,9,2,23,70,1,0,0,0
302,vertical_green,35,8,2,23,68,0,0,0,0
303,vertical_yellow,37,9,3,23,72,2,1,1,0
304,vertical_yellow,37,9,3,23,72,0,0,0,0
305,all_red_2,37,10,4,23,74,0,1,1,0
306,horizontal_green,37,11,3,22,73,0,1,0,0
307,horizontal_green,38,11,3,21,73,1,0,1,0
308,horizontal_green,38,11,2,20,71,0,0,0,0
309,horizontal_green,40,11,1,19,71,2,0,0,0
310,horizontal_green,41,11,1,18,71,1,0,1,0
311,horizontal_green,41,11,0,17,69,0,0,0,0
312,horizontal_green,42,11,0,16,69,1,0,0,0
313,horizontal_green,42,11,0,15,68,0,0,1,0
314,horizontal_green,42,11,0,14,67,0,0,0,0
315,horizontal_green,42,11,0,14,67,0,0,0,1
316,horizontal_green,42,11,0,13,66,0,0,0,0
317,horizontal_green,42,11,0,12,65,0,0,0,0
318,horizontal_green,42,11,1,14,68,0,0,2,3
319,horizontal_green,42,11,3,13,69,0,0,3,0
320,horizontal_green,42,11,2,15,70,0,0,0,3
321,horizontal_green,42,11,2,14,69,0,0,1,0
322,horizontal_green,42,11,4,13,70,0,0,3,0
323,horizontal_green,42,11,3,12,68,0,0,0,0
324,horizontal_green,42,11,5,13,71,0,0,3,2
325,horizontal_green,42,11,5,13,71,0,0,1,1
326,horizontal_green,42,11,6,13,72,0,0,2,1
327,horizontal_green,42,11,7,12,72,0,0,2,0
328,horizontal_green,42,11,7,13,73,0,0,1,2
329,horizontal_green,42,11,8,14,75,0,0,2,2
330,horizontal_green,42,11,7,13,73,0,0,0,0
331,horizontal_green,42,11,6,12,71,0,0,0,0
332,horizontal_green,42,11,7,14,74,0,0,2,3
333,horizontal_green,42,11,8,13,74,0,0,2,0
334,horizontal_green,42,11,8,14,75,0,0,1,2
335,horizontal_green,42,12,10,13,77,0,1,3,0
336,horizontal_green,42,12,11,13,78,0,0,2,1
337,horizontal_green,42,12,10,12,76,0,0,0,0
338,horizontal_green,42,12,12,12,78,0,0,3,1
339,horizontal_green,42,12,11,11,76,0,0,0,0
340,horizontal_green,42,12,13,12,79,0,0,3,2
341,horizontal_green,42,13,12,13,80,0,1,0,2
342,horizontal_green,42,13,13,12,80,0,0,2,0
343,horizontal_green,42,13,14,11,80,0,0,2,0
344,horizontal_green,42,13,15,13,83,0,0,2,3
345,horizontal_green,42,13,15,12,82,0,0,1,0
346,horizontal_green,42,13,15,12,82,0,0,1,1
347,horizontal_green,42,13,14,12,81,0,0,0,1
348,horizontal_green,42,13,14,12,81,0,0,1,1
349,horizontal_green,42,14,16,11,83,0,1,3,0
350,horizontal_green,42,14,17,12,85,0,0,2,2
351,horizontal_green,42,14,16,11,83,0,0,0,0
352,horizontal_green,42,14,16,12,84,0,0,1,2
353,horizontal_green,42,14,17,11,84,0,0,2,0
354,horizontal_green,42,14,17,10,83,0,0,1,0
355,horizontal_green,42,14,18,10,84,0,0,2,1
356,horizontal_green,42,14,18,9,83,0,0,1,0
357,horizontal_green,42,14,17,9,82,0,0,0,1
358,horizontal_green,42,14,16,8,80,0,0,0,0
359,horizontal_green,42,14,16,8,80,0,0,1,1
360,horizontal_green,42,14,15,7,78,0,0,0,0
361,horizontal_green,42,14,14,8,78,0,0,0,2
362,horizontal_green,42,15,14,7,78,0,1,1,0
363,horizontal_yellow,42,15,14,9,80,0,0,0,2
364,horizontal_yellow,42,15,14,9,80,0,0,0,0
365,all_red_1,42,15,14,10,81,0,0,0,1
366,vertical_green,41,14,14,11,80,0,0,0,1
367,vertical_green,40,13,14,12,79,0,0,0,1
368,vertical_green,39,12,14,12,77,0,0,0,0
369,vertical_green,38,11,14,13,76,0,0,0,1
370,vertical_green,37,10,14,14,75,0,0,0,1
371,vertical_green,36,9,14,14,73,0,0,0,0
